Artist,Title,"('PeakPos', 'min')","('Duration', 'max')","('Date', 'min')"
"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",The Greatest Show,88.0,4.0,2018-01-13
Loren Allred,Never Enough,88.0,4.0,2015-12-05
Lil Baby,My Dawg,71.0,7.0,2017-12-30
Blake Shelton,I'll Name The Dogs,56.0,20.0,2017-09-30
SZA,The Weekend,29.0,25.0,2017-01-21
Marshmello Featuring Khalid,Silence,30.0,23.0,2017-09-02
Troye Sivan,My My My!,80.0,1.0,2018-01-27
"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",Krippy Kush,75.0,6.0,2017-12-16
Taylor Swift,...Ready For It?,4.0,20.0,2017-09-23
Enrique Iglesias Featuring Bad Bunny,El Bano,98.0,1.0,2018-01-27
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,1.0,52.0,2017-02-04
Bruno Mars,That's What I Like,1.0,52.0,2016-12-10
Maren Morris,I Could Use A Love Song,56.0,21.0,2017-09-02
Clean Bandit Featuring Julia Michaels,I Miss You,92.0,1.0,2018-01-20
Niall Horan,Too Much To Ask,66.0,12.0,2017-10-07
"Machine Gun Kelly, X Ambassadors & Bebe Rexha",Home,74.0,5.0,2015-11-07
Yo Gotti,Juice,90.0,6.0,2017-12-23
P!nk,What About Us,13.0,22.0,2017-08-26
Taylor Swift,Look What You Made Me Do,1.0,20.0,2017-09-09
Luke Bryan,Light It Up,57.0,20.0,2016-04-02
Zayn Featuring Sia,Dusk Till Dawn,44.0,17.0,2017-09-30
NAV Featuring Lil Uzi Vert,Wanted You,64.0,7.0,2017-12-02
XXXTENTACION Featuring Trippie Redd,F**k Love,41.0,19.0,2017-09-16
Mariah Carey,All I Want For Christmas Is You,9.0,24.0,2015-01-03
Brenda Lee,Rockin' Around The Christmas Tree,14.0,22.0,2015-12-26
Andy Williams,It's The Most Wonderful Time Of The Year,32.0,5.0,2017-01-07
Nat King Cole,The Christmas Song (Merry Christmas To You),37.0,12.0,2016-01-09
Burl Ives,A Holly Jolly Christmas,38.0,5.0,2017-01-07
Tay-K,The Race,44.0,20.0,2017-08-26
Huncho Jack Featuring Takeoff,Eye 2 Eye,65.0,1.0,2018-01-06
Huncho Jack,Modern Slavery,68.0,1.0,2018-01-06
Imagine Dragons + Khalid,Thunder/Young Dumb & Broke (Medley),69.0,1.0,2018-01-06
Huncho Jack,Black & Chinese,71.0,1.0,2018-01-06
Huncho Jack Featuring Offset,Dubai Shit,83.0,1.0,2018-01-06
Huncho Jack,Huncho Jack,87.0,1.0,2018-01-06
Huncho Jack,Motorcycle Patches,90.0,1.0,2018-01-06
Huncho Jack,Saint,92.0,1.0,2018-01-06
Eminem Featuring Beyonce,Walk On Water,14.0,5.0,2017-12-02
Wham!,Last Christmas,41.0,4.0,2017-01-07
